"XOM.Open","XOM.High","XOM.Low","XOM.Close","XOM.Volume","XOM.WAP","XOM.hasGaps","XOM.Count","index","Orders","Position","holdingGrossReturn","X50PeriodSMA","upperBband2SD50PeriodsSMA","lowerBband2SD50PeriodsSMA","upperBband1SD50PeriodsSMA","lowerBband1SD50PeriodsSMA","X20PeriodSMA","upperBband2SD20PeriodsSMA","lowerBband2SD20PeriodsSMA","upperBband1SD20PeriodsSMA","lowerBband1SD20PeriodsSMA","X10PeriodSMA","upperBband2SD10PeriodsSMA","lowerBband2SD10PeriodsSMA","upperBband1SD10PeriodsSMA","lowerBband1SD10PeriodsSMA","X5PeriodSMA","upperBband2SD5PeriodsSMA","lowerBband2SD5PeriodsSMA","upperBband1SD5PeriodsSMA","lowerBband1SD5PeriodsSMA","SD20Days","SD10Days","SD5Days"
106.12,106.12,106.12,106.12,4,106.12,0,4,32,0,0,1.00032049469298,NA,NA,NA,NA,NA,106.09785,106.135787760664,106.059912239336,106.116818880332,106.078881119668,106.1125,106.125192955176,106.099807044824,106.118846477588,106.106153522412,106.1178,106.125202702209,106.110397297791,106.121501351105,106.114098648895,0.0189688803320762,0.00634647758821987,0.00370135110466609
106.12,106.13,106.12,106.12,1,106.124,0,1,33,0,0,1.00035819995098,NA,NA,NA,NA,NA,106.10105,106.13624255304,106.06585744696,106.11864627652,106.08345372348,106.1139,106.128336065946,106.099463934054,106.121118032973,106.106681967027,106.12,106.126782329983,106.113217670017,106.123391164992,106.116608835008,0.0175962765200033,0.00721803297304662,0.00339116499156311
106.12,106.12,106.11,106.11,8,106.117,0,5,34,0,0,1.00029221574949,NA,NA,NA,NA,NA,106.10365,106.135114432719,106.072185567281,106.119382216359,106.087917783641,106.1148,106.128714021705,106.100885978295,106.121757010852,106.107842989148,106.119,106.125782329983,106.112217670017,106.122391164992,106.115608835008,0.0157322163593991,0.00695701085237024,0.00339116499156206
106.12,106.13,106.12,106.13,4,106.121,0,4,35,0,0,1.00032992100748,NA,NA,NA,NA,NA,106.10615,106.134480939011,106.077819060989,106.120315469506,106.091984530494,106.1164,106.128914880032,106.103885119968,106.122657440016,106.110142559984,106.1202,106.125376871642,106.115023128358,106.122788435821,106.117611564179,0.0141654695056597,0.00625744001613754,0.0025884358211054
106.13,106.13,106.12,106.12,4,106.123,0,4,36,0,0,1.00034877363648,NA,NA,NA,NA,NA,106.1083,106.134738409061,106.081861590939,106.121519204531,106.095080795469,106.1183,106.127870788891,106.108729211109,106.123085394446,106.113514605554,106.121,106.126477225575,106.115522774425,106.123738612788,106.118261387212,0.01321920453057,0.00478539444560336,0.00273861278752334
106.12,106.12,106.11,106.12,8,106.115,0,2,37,0,0,1.00027336312049,NA,NA,NA,NA,NA,106.11015,106.132527385201,106.087772614799,106.1213386926,106.0989613074,106.1189,106.126409993342,106.111390006658,106.122654996671,106.115145003329,106.12,106.127745966692,106.112254033308,106.123872983346,106.116127016654,0.011188692600356,0.00375499667110441,0.00387298334620756
106.12,106.14,106.11,106.14,17,106.121,0,7,38,0,0,1.00032992100748,NA,NA,NA,NA,NA,106.112,106.131161364637,106.092838635363,106.121580682318,106.102419317682,106.1197,106.126028067987,106.113371932013,106.122864033993,106.116535966007,106.1194,106.12597267069,106.11282732931,106.122686335345,106.116113664655,0.0095806823183015,0.00316403399335649,0.00328633534503199
106.14,106.14,106.13,106.13,8,106.135,0,8,39,0,0,1.00046188941048,NA,NA,NA,NA,NA,106.11415,106.133511111321,106.094788888679,106.12383055566,106.10446944434,106.121,106.132585431465,106.109414568535,106.126792715732,106.115207284268,106.123,106.137696938457,106.108303061543,106.130348469228,106.115651530772,0.00968055566043365,0.00579271573232963,0.00734846922835368
106.13,106.14,106.13,106.14,7,106.134,0,3,40,0,0,1.00045246309598,NA,NA,NA,NA,NA,106.1161,106.135194226187,106.097005773813,106.125647113094,106.106552886906,106.1229,106.136214987379,106.109585012622,106.129557493689,106.116242506311,106.1256,106.142897398648,106.108302601352,106.134248699324,106.116951300676,0.00954711309355192,0.00665749368923774,0.0086486993241792
106.14,106.15,106.14,106.15,5,106.143,0,4,41,0,0,1.00053729992647,NA,NA,NA,NA,NA,106.1184,106.13884144397,106.09795855603,106.128620721985,106.108179278015,106.1253,106.143313575128,106.107286424872,106.134306787564,106.116293212436,106.1296,106.152298017535,106.106901982465,106.140949008767,106.118250991233,0.0102207219850041,0.00900678756395659,0.0113490087672923
106.15,106.15,106.14,106.15,9,106.145,0,8,42,0,0,1.00055615255547,NA,NA,NA,NA,NA,106.12015,106.143367733694,106.096932266306,106.131758866847,106.108541133153,106.1278,106.149170800432,106.106429199568,106.138485400216,106.117114599784,106.1356,106.154552572385,106.116647427615,106.145076286192,106.126123713808,0.0116088668470994,0.0106854002160795,0.00947628619238664
106.15,106.17,106.15,106.17,16,106.156,0,11,43,0,0,1.00065984201497,NA,NA,NA,NA,NA,106.12245,106.150120809244,106.094779190756,106.136285404622,106.108614595378,106.131,106.158535835237,106.103464164763,106.144767917619,106.117232082381,106.1426,106.160410109489,106.124789890511,106.151505054744,106.133694945256,0.0138354046219347,0.0137679176187106,0.00890505474435806
106.16,106.17,106.15,106.16,17,106.16,0,8,44,0,0,1.00069754727297,NA,NA,NA,NA,NA,106.12505,106.156515770876,106.093584229124,106.140782885438,106.109317114562,106.1353,106.166327586292,106.104272413708,106.150813793146,106.119786206854,106.1476,106.168509328062,106.126690671938,106.158054664031,106.137145335969,0.0157328854381688,0.0155137931460304,0.0104546640309483
106.16,106.17,106.16,106.17,2,106.163,0,2,45,0,0,1.00072582621647,NA,NA,NA,NA,NA,106.12795,106.162202775531,106.093697224469,106.145076387765,106.110823612234,106.1395,106.173181514878,106.105818485123,106.156340757439,106.122659242561,106.1534,106.171322053454,106.135477946546,106.162361026727,106.144438973273,0.0171263877655142,0.0168407574387591,0.00896102672688759
106.16,106.16,106.16,106.16,5,106.16,0,1,46,0,0,1.00069754727297,NA,NA,NA,NA,NA,106.13075,106.165903048831,106.095596951169,106.148326524415,106.113173475585,106.1432,106.176954670459,106.109445329541,106.160077335229,106.126322664771,106.1568,106.170899645386,106.142700354614,106.163849822693,106.149750177307,0.0175765244154334,0.016877335229368,0.00704982269280582
106.16,106.18,106.16,106.18,24,106.167,0,15,47,0,0,1.00076353147446,NA,NA,NA,NA,NA,106.13365,106.170763056292,106.096536943707,106.152206528146,106.115093471854,106.1484,106.178690445872,106.118109554128,106.163545222936,106.133254777064,106.1612,106.169373126697,106.153026873303,106.165286563348,106.157113436652,0.0185565281462377,0.0151452229358891,0.00408656334833933
106.18,106.18,106.17,106.18,7,106.175,0,3,48,0,0,1.00083894199046,NA,NA,NA,NA,NA,106.13675,106.176838717405,106.096661282595,106.156794358702,106.116705641298,106.1538,106.181525639959,106.126074360041,106.167662819979,106.139937180021,106.165,106.17756980509,106.15243019491,106.171284902545,106.158715097455,0.0200443587023749,0.0138628199792733,0.00628490254498888
106.17,106.18,106.17,106.18,35,106.174,0,24,49,0,0,1.00082951567596,NA,NA,NA,NA,NA,106.13935,106.182069525919,106.096630474081,106.160709762959,106.117990237041,106.1577,106.184632838279,106.130767161721,106.17116641914,106.14423358086,106.1678,106.181021195105,106.154578804895,106.174410597552,106.161189402448,0.0213597629594581,0.0134664191396398,0.00661059755241769
106.18,106.18,106.17,106.18,12,106.175,0,8,50,0,0,1.00083894199046,106.10542,106.181821827096,106.029018172904,106.143620913548,106.067219086452,106.14235,106.186279488957,106.098420511043,106.164314744478,106.120385255522,106.1618,106.184909401646,106.138690598354,106.173354700823,106.150245299177,106.1702,106.183421195105,106.156978804895,106.176810597552,106.163589402448,0.0219647444783682,0.0115547008230902,0.0066105975524164
106.17,106.18,106.17,106.18,9,106.174,0,6,51,0,0,1.00082951567596,106.10718,106.185778634251,106.028581365749,106.146479317125,106.067880682874,106.1451,106.189754934306,106.100445065694,106.167427467153,106.122772532847,106.1649,106.184909997501,106.144890002499,106.174904998751,106.154895001249,106.173,106.179782329983,106.166217670017,106.176391164992,106.169608835008,0.0223274671531213,0.0100049987506261,0.00339116499156206
106.18,106.18,106.18,106.18,9,106.18,0,3,52,0,0,1.00088607356296,106.10942,106.189824172904,106.029015827096,106.149622086452,106.069217913548,106.1481,106.193706555392,106.102493444608,106.170903277696,106.125296722304,106.1684,106.184870849671,106.151929150329,106.176635424836,106.160164575164,106.1756,106.180619960159,106.170580039841,106.17810998008,106.17309001992,0.0228032776960741,0.00823542483556542,0.00250998007960345
106.18,106.18,106.17,106.18,1,106.175,0,1,53,0,0,1.00083894199046,106.11192,106.192556083481,106.031283916519,106.152238041741,106.071601958259,106.15065,106.196285973806,106.105014026194,106.173467986903,106.127832013097,106.1703,106.184661986864,106.155938013137,106.177480993432,106.163119006568,106.1756,106.180619960159,106.170580039841,106.17810998008,106.17309001992,0.0228179869032268,0.0071809934317407,0.00250998007960345
106.17,106.2,106.17,106.2,11,106.183,0,10,54,0,0,1.00091435250646,106.11442,106.195978382745,106.032861617255,106.155199191372,106.073640808628,106.15395,106.198880238323,106.109019761677,106.176415119162,106.131484880838,106.1726,106.186997530653,106.158202469348,106.179798765326,106.165401234674,106.1774,106.185223042886,106.169576957114,106.181311521443,106.173488478557,0.0224651191616569,0.00719876532623919,0.00391152144312464
106.2,106.2,106.19,106.19,2,106.194,0,2,55,0,0,1.00101804196595,106.11734,106.19964318267,106.03503681733,106.158491591335,106.076188408665,106.1576,106.203116451624,106.112083548376,106.180358225812,106.134841774188,106.1757,106.19378744193,106.15761255807,106.184743720965,106.166656279035,106.1812,106.197287262042,106.165112737958,106.189243631021,106.173156368979,0.0227582258118977,0.0090437209647867,0.00804363102087633
106.19,106.2,106.19,106.2,2,106.193,0,2,56,0,0,1.00100861565145,106.1201,106.203122740922,106.037077259078,106.161611370461,106.078588629539,106.1611,106.206177243646,106.116022756354,106.183638621823,106.138561378177,106.179,106.196384539747,106.161615460253,106.187692269874,106.170307730126,106.185,106.201552945357,106.168447054643,106.193276472679,106.176723527321,0.0225386218230903,0.00869226987360344,0.00827647267862302
106.2,106.2,106.19,106.2,3,106.198,0,2,57,0,0,1.00105574722395,106.12266,106.207256145037,106.038063854963,106.164958072518,106.080361927482,106.16525,106.207660897309,106.122839102691,106.186455448654,106.144044551346,106.1821,106.200966784452,106.163233215548,106.191533392226,106.172666607774,106.1886,106.207393615937,106.169806384063,106.197996807969,106.179203192031,0.021205448654334,0.00943339222596277,0.00939680796866525
106.2,106.2,106.19,106.2,5,106.199,0,5,58,0,0,1.00106517353845,106.1254,106.210847202937,106.039952797063,106.168123601469,106.082676398531,106.16915,106.208674942158,106.129625057842,106.188912471079,106.149387528921,106.1845,106.20535398976,106.163646010241,106.19492699488,106.17407300512,106.1934,106.206096456198,106.180703543801,106.199748228099,106.187051771901,0.019762471079242,0.0104269948797422,0.00634822809923717
106.2,106.21,106.2,106.2,29,106.205,0,10,59,0,0,1.00112173142545,106.12846,106.214136382096,106.042783617904,106.171298191048,106.085621808952,106.17265,106.211837941217,106.133462058783,106.192243970609,106.153056029391,106.1876,106.210620763575,106.164579236425,106.199110381787,106.176089618213,106.1978,106.2073289034,106.1882710966,106.2025644517,106.1930355483,0.0195939706085959,0.0115103817872754,0.00476445169982782
106.2,106.21,106.2,106.2,0,106.2,0,0,60,0,0,1.00107459985295,106.13146,106.216424540022,106.046495459978,106.173942270011,106.088977729989,106.17595,106.212457965966,106.139442034034,106.194203982983,106.157696017017,106.1901,106.212459685945,106.167740314055,106.201279842973,106.178920157028,106.199,106.207602325267,106.190397674733,106.203301162634,106.194698837366,0.0182539829828135,0.0111798429724587,0.00430116263352203
106.21,106.23,106.21,106.23,12,106.215,0,10,61,0,0,1.00121599457044,106.13456,106.220190587707,106.048929412293,106.177375293853,106.091744706147,106.17955,106.216573321242,106.142526678758,106.198061660621,106.161038339379,106.1942,106.21839917354,106.17000082646,106.20629958677,106.18210041323,106.2034,106.217442791745,106.189357208255,106.210421395873,106.196378604127,0.0185116606210081,0.0120995867698026,0.00702139587261934
106.23,106.23,106.22,106.22,33,106.226,0,11,62,0,0,1.00131968402994,106.13814,106.223796180305,106.052483819695,106.180968090153,106.095311909847,106.1836,106.222389038061,106.144810961939,106.20299451903,106.16420548097,106.1988,106.227978378601,106.169621621399,106.2133891893,106.1842108107,106.209,106.231847319318,106.186152680682,106.220423659659,106.197576340341,0.0193945190304128,0.0145891893004526,0.011423659658796
106.23,106.23,106.22,106.23,2,106.228,0,2,63,0,0,1.00133853665894,106.1415,106.227822839695,106.055177160305,106.184661419848,106.098338580152,106.1872,106.228487694101,106.145912305899,106.207843847051,106.166556152949,106.2041,106.233318715463,106.174881284537,106.218709357732,106.189490642268,106.2148,106.239595160818,106.190004839182,106.227197580409,106.202402419591,0.020643847050698,0.0146093577317171,0.0123975804090938
106.23,106.23,106.23,106.23,4,106.23,0,4,64,0,0,1.00135738928794,106.1448,106.231798944399,106.057801055601,106.188299472199,106.101300527801,106.1907,106.234093426618,106.147306573382,106.212396713309,106.169003286691,106.2088,106.238054439359,106.179545560641,106.22342721968,106.19417278032,106.2198,106.24479599968,106.19480400032,106.23229799984,106.20730200016,0.0216967133091867,0.0146272196796099,0.0124979998399727
106.23,106.23,106.23,106.23,1,106.23,0,1,65,0,0,1.00135738928794,106.14798,106.235589979862,106.060370020138,106.191784989931,106.104175010069,106.19405,106.238764180019,106.149335819981,106.216407090009,106.171692909991,106.2124,106.242410368579,106.182389631421,106.227405184289,106.197394815711,106.2258,106.238321980674,106.213278019326,106.232060990337,106.219539009663,0.0223570900093058,0.0150051842892914,0.00626099033699878
106.23,106.24,106.23,106.23,2,106.235,0,2,66,0,0,1.00140452086043,106.15108,106.239833582279,106.062326417721,106.195456791139,106.106703208861,106.1978,106.243066927628,106.152533072372,106.220433463814,106.175166536186,106.2166,106.246297736539,106.186902263461,106.23144886827,106.20175113173,106.2298,106.236493280212,106.223106719788,106.233146640106,106.226453359894,0.0226334638137978,0.0148488682696333,0.00334664010613721
106.23,106.24,106.23,106.23,5,106.235,0,4,67,0,0,1.00140452086043,106.15422,106.243527805267,106.064912194733,106.198873902634,106.109566097366,106.2012,106.246938846785,106.155461153215,106.224069423393,106.178330576607,106.2203,106.248897591196,106.191702408804,106.234598795598,106.206001204402,106.2316,106.238018722614,106.225181277386,106.234809361307,106.228390638693,0.0228694233927258,0.014298795598076,0.00320936130717651
