"WM.Open","WM.High","WM.Low","WM.Close","WM.Volume","WM.WAP","WM.hasGaps","WM.Count","index","Orders","Position","holdingGrossReturn","X50PeriodSMA","upperBband2SD50PeriodsSMA","lowerBband2SD50PeriodsSMA","upperBband1SD50PeriodsSMA","lowerBband1SD50PeriodsSMA","X20PeriodSMA","upperBband2SD20PeriodsSMA","lowerBband2SD20PeriodsSMA","upperBband1SD20PeriodsSMA","lowerBband1SD20PeriodsSMA","X10PeriodSMA","upperBband2SD10PeriodsSMA","lowerBband2SD10PeriodsSMA","upperBband1SD10PeriodsSMA","lowerBband1SD10PeriodsSMA","X5PeriodSMA","upperBband2SD5PeriodsSMA","lowerBband2SD5PeriodsSMA","upperBband1SD5PeriodsSMA","lowerBband1SD5PeriodsSMA","SD20Days","SD10Days","SD5Days"
153,153.46,152.99,153.29,66,153.251,0,61,28,0,0,1.01379949062283,NA,NA,NA,NA,NA,152.46835,153.089708875877,151.846991124123,152.779029437939,152.157670562061,152.6401,153.222070942383,152.058129057617,152.931085471191,152.349114528809,152.8684,153.310410407117,152.426389592883,153.089405203559,152.647394796441,0.310679437938682,0.29098547119134,0.22100520355865
153.26,153.31,153.14,153.26,65,153.227,0,53,29,0,0,1.0136407237125,NA,NA,NA,NA,NA,152.51825,153.214461363853,151.822038636147,152.866355681927,152.170144318074,152.7177,153.387866844898,152.047533155102,153.052783422449,152.382616577551,152.9638,153.47804002178,152.44955997822,153.22092001089,152.70667998911,0.348105681926445,0.335083422448802,0.257120010889857
153.26,153.43,153.25,153.34,74,153.346,0,58,30,0,0,1.01442794297622,NA,NA,NA,NA,NA,152.58535,153.329879883462,151.840820116538,152.957614941731,152.213085058269,152.8126,153.54665431225,152.07854568775,153.179627156125,152.445572843875,153.077,153.636165449576,152.517834550423,153.356582724788,152.797417275212,0.372264941731164,0.367027156125178,0.27958272478821
153.36,153.56,153.31,153.39,136,153.438,0,125,31,0,0,1.01503654946582,NA,NA,NA,NA,NA,152.6487,153.457611445287,151.839788554713,153.053155722643,152.244244277357,152.9307,153.647277699904,152.214122300096,153.288988849952,152.572411150048,153.2238,153.666639474302,152.780960525698,153.445219737151,153.002380262849,0.404455722643342,0.358288849952104,0.221419737150958
153.43,153.63,153.36,153.63,57,153.512,0,43,32,0,0,1.01552608077267,NA,NA,NA,NA,NA,152.69625,153.590733649935,151.801766350066,153.143491824967,152.249008175033,153.0417,153.737884554075,152.345515445924,153.389792277038,152.693607722962,153.3548,153.597325874908,153.112274125092,153.476062937454,153.233537062546,0.44724182496721,0.348092277037761,0.121262937454109
153.66,153.74,153.4,153.41,64,153.644,0,61,33,0,0,1.01639929877948,NA,NA,NA,NA,NA,152.74315,153.733059357892,151.753240642108,153.238104678946,152.248195321054,153.1509,153.848268673419,152.453531326581,153.49958433671,152.80221566329,153.4334,153.750876298328,153.115923701672,153.592138149164,153.274661850836,0.49495467894599,0.348684336709675,0.158738149163961
153.41,153.51,153.38,153.48,100,153.449,0,73,34,0,0,1.01510931763305,NA,NA,NA,NA,NA,152.78865,153.821761248914,151.755538751087,153.305205624457,152.272094375543,153.2208,153.878577267267,152.563022732733,153.549688633634,152.891911366366,153.4778,153.698201451901,153.257398548099,153.58800072595,153.367599274049,0.516555624456744,0.328888633633534,0.110200725950423
153.52,153.56,153.39,153.55,95,153.454,0,82,35,0,0,1.0151423940727,NA,NA,NA,NA,NA,152.85125,153.886413017927,151.816086982073,153.368831508964,152.333668491036,153.2882,153.880055688116,152.696344311884,153.584127844058,152.992272155942,153.4994,153.670978553438,153.327821446562,153.585189276719,153.413610723281,0.517581508963617,0.295927844058123,0.0857892767191814
153.58,153.71,153.43,153.71,162,153.595,0,126,36,0,0,1.01607514967089,NA,NA,NA,NA,NA,152.92365,153.953957317465,151.893342682536,153.438803658732,152.408496341268,153.3773,153.830244980716,152.924355019284,153.603772490358,153.150827509642,153.5308,153.703654852405,153.357945147595,153.617227426203,153.444372573797,0.51515365873229,0.226472490357856,0.086427426202563
153.71,153.84,153.68,153.75,72,153.763,0,67,37,0,0,1.0171865180432,NA,NA,NA,NA,NA,153.00785,154.022642128053,151.993057871947,153.515246064026,152.500453935974,153.4679,153.80624689628,153.12955310372,153.63707344814,153.29872655186,153.581,153.847161605045,153.314838394955,153.714080802522,153.447919197478,0.507396064026394,0.169173448139936,0.133080802522375
